Season,Team,Player,Number,Age,Position,Position Type,Nationality,ValueEUR
2017,Johor Darul Ta'zim,Farizal Marlias,1,29,Goalkeeper,Goalkeeper,Malaysia,0.0
2017,Johor Darul Ta'zim,Izham Tarmizi,24,24,Goalkeeper,Goalkeeper,Malaysia,1.0
2017,Johor Darul Ta'zim,Haziq Nadzli,30,17,Goalkeeper,Goalkeeper,Malaysia,2.0
2017,Johor Darul Ta'zim,Bruno Soares,2,27,Centre-Back,Defenders,Brazil,700000.0
2017,Johor Darul Ta'zim,Marcos António,6,32,Centre-Back,Defenders,Brazil,400000.0
2017,Johor Darul Ta'zim,Adam Nor Azlin,-,19,Centre-Back,Defenders,Malaysia,5.0
2017,Johor Darul Ta'zim,Aidil Zafuan,7,28,Centre-Back,Defenders,Malaysia,6.0
2017,Johor Darul Ta'zim,Junior Eldstal,25,24,Centre-Back,Defenders,Malaysia,7.0
2017,Johor Darul Ta'zim,Dominic Tan,26,18,Centre-Back,Defenders,Malaysia,8.0
2017,Johor Darul Ta'zim,Fadhli Shas,27,24,Centre-Back,Defenders,Malaysia,9.0
2017,Johor Darul Ta'zim,Fazly Mazlan,15,22,Left-Back,Defenders,Malaysia,10.0
2017,Johor Darul Ta'zim,S. Kunanlan,12,29,Right-Back,Defenders,Malaysia,11.0
2017,Johor Darul Ta'zim,Azrif Nasrulhaq,20,24,Right-Back,Defenders,Malaysia,12.0
2017,Johor Darul Ta'zim,S. Chanthuru Suppiah,23,28,Right-Back,Defenders,Malaysia,13.0
2017,Johor Darul Ta'zim,Hasbullah Abu Bakar,3,21,Defensive Midfield,Midfielders,Malaysia,14.0
2017,Johor Darul Ta'zim,Afiq Fazail,4,21,Defensive Midfield,Midfielders,Malaysia,15.0
2017,Johor Darul Ta'zim,Gary Steven,13,23,Defensive Midfield,Midfielders,Malaysia,16.0
2017,Johor Darul Ta'zim,Natxo Insa,50,29,Central Midfield,Midfielders,Malaysia,400000.0
2017,Johor Darul Ta'zim,Nazmi Faiz,21,21,Central Midfield,Midfielders,Malaysia,50000.0
2017,Johor Darul Ta'zim,Mohd Shakir,16,29,Central Midfield,Midfielders,Malaysia,19.0
2017,Johor Darul Ta'zim,Amirul Hadi Zainal,5,29,Central Midfield,Midfielders,Malaysia,20.0
2017,Johor Darul Ta'zim,Safiq Rahim,8,28,Central Midfield,Midfielders,Malaysia,21.0
2017,Johor Darul Ta'zim,Brian Ferreira,10,21,Attacking Midfield,Midfielders,Argentina,1500000.0
2017,Johor Darul Ta'zim,Gabriel Guerra,10,22,Attacking Midfield,Midfielders,Argentina,23.0
2017,Johor Darul Ta'zim,Gonzalo Cabrera,11,26,Left Winger,Midfielders,Argentina,600000.0
2017,Johor Darul Ta'zim,Azammuddin Akil,-,30,Right Winger,Midfielders,Malaysia,25.0
2017,Johor Darul Ta'zim,Safawi Rasid,29,18,Right Winger,Midfielders,Malaysia,26.0
2017,Johor Darul Ta'zim,Mahali Jasuli,18,26,Second Striker,Forwards,Malaysia,27.0
2017,Johor Darul Ta'zim,Jerónimo Barrales,-,28,Centre-Forward,Forwards,Argentina,1500000.0
2017,Johor Darul Ta'zim,Luciano Figueroa,-,34,Centre-Forward,Forwards,Argentina,500000.0
2017,Johor Darul Ta'zim,Jorge Pereyra Díaz,-,25,Centre-Forward,Forwards,Argentina,500000.0
2017,Johor Darul Ta'zim,Mohamad Ghaddar,22,31,Centre-Forward,Forwards,Lebanon,31.0
2017,Johor Darul Ta'zim,Hadi Fayyadh,-,15,Centre-Forward,Forwards,Malaysia,32.0
2017,Johor Darul Ta'zim,Hazwan Bakri,9,24,Centre-Forward,Forwards,Malaysia,33.0
2017,Johor Darul Ta'zim,Gopinathan,17,26,Striker,Forwards,Malaysia,34.0
2017,Johor Darul Ta'zim,Darren Lok,28,25,Centre-Forward,Forwards,Malaysia,35.0
2017,Melaka United FC,Zamir Selamat,-,26,Goalkeeper,Goalkeeper,Malaysia,0.0
2017,Melaka United FC,Faridzuean Kamaruddin,-,20,Goalkeeper,Goalkeeper,Malaysia,1.0
